,url,keyword,terms,error,access_date
7,https://www.builtinnyc.com/job/product/senior-product-manager/231965,Qualifications,"Base salary is just one part of our Total Rewards Package here at Rhino. In connection with this position, we also offer:",,2023-08-14 21:32:40.739122
8,https://www.builtinnyc.com/job/product/product-compliance-manager-seller/232202,Requirements,"['Knowledge in payment regulations and scheme rules, knowledge of areas of Cards, commercial lending, and peer-to-peer payments also ideal', 'Financial crimes and sanctions competency', '6+ years in the compliance industry', 'Significant experience managing product launch projects', 'Experience conducting product-level risk assessments (AML, ACH, general compliance)', 'A metrics-driven approach to create substantiated solutions', 'Ability to identify the important problems to solve', 'Operational knowledge in building a sound Compliance program']",,2023-08-14 21:32:41.335031
0,https://www.builtinnyc.com/job/product/product-manager-issuing/232160,You Have,"['4+ years of Product Management experience, especially in technical areas like platforms or payments.', 'Deep customer empathy and product sense.', 'Solid technical and analytical understanding, with a strong interest in APIs and emergent technologies.', 'Experience with card processing or card issuing is a big plus, but not a must-have.', 'Excellent communication and relationship-building skills, with a demonstrated ability to coordinate efforts across multiple teams.', 'A history of setting, prioritizing, and achieving product goals, and turning complex ideas into clear, actionable plans.', 'An imaginative and curious approach to product development, with a strong drive to succeed.']",,2023-08-14 21:33:53.426804
1,https://www.builtinnyc.com/job/product/senior-product-manager/225746,Requirements,What You'll Bring to the Role:,,2023-08-14 21:33:54.070940
0,https://www.builtinnyc.com/job/product/group-product-manager-employer-risk/225691,You Have,"You will inherit an existing roadmap focused on table stakes for our Employer Risk programs, but will have an opportunity to define an ambitious path forward, focused on our SUI and Worker’s Compensation programs and our broader vertical expansion efforts to strengthen product market fit across new industries. You will have an opportunity to make a deep impact across the small businesses that use Justworks with features and services that will be touched by hundreds of thousands end-users.",,2023-08-15 01:45:16.958517
2,https://www.builtinnyc.com/job/product/sr-manager-product-manager/220903,We want you if you are,"[""Intellectually Curious .  You ask why, you explore, you're not afraid to blurt out your crazy idea or follow an email chain for weeks to find someone with an answer. Comfortable with ambiguity, a hunger to learn and a seeker of new challenges."", ""Communicator & Influencer.  You can communicate complex ideas clearly regardless of your audience. Our team knows their priorities and why they're doing what they're doing. You always can rally associates to work with you."", ""Do-er.  You're biased toward action, you try things and sometimes you fail. You can get around roadblocks and stay focused on your goals. You're well organized, able to multitask and able to prioritize your work."", ""Passionate & Customer Focus .  You care about growing others and bringing them together around what's possible. You get a thrill from the journey of building and shipping products, and you have a desire and ability to connect with our external or internal customers to fully understand their needs."", 'Learner.  You have an appetite to learn new things or new technologies all while exhibiting humbleness when the time comes to ask for help.', 'Team Player.  You enjoy working with diverse people and driving the team toward a common goal. You have the ability to put the team before yourself and establish long-lasting relationships.']",,2023-08-15 01:51:52.861394
3,https://www.builtinnyc.com/job/product/manager-product-manager-consumer-identity/232263,We want you if you are,"[""Intellectually Curious .  You ask why, you explore, you're not afraid to blurt out your crazy idea or follow an email chain for weeks to find someone with an answer. Comfortable with ambiguity, a hunger to learn and a seeker of new challenges."", ""Communicator & Influencer.  You can communicate complex ideas clearly regardless of your audience. Our team knows their priorities and why they're doing what they're doing. You always can rally associates to work with you."", ""Do-er.  You're biased toward action, you try things and sometimes you fail. You can get around roadblocks and stay focused on your goals. You're well organized, able to multitask and able to prioritize your work."", ""Passionate & Customer Focus .  You care about growing others and bringing them together around what's possible. You get a thrill from the journey of building and shipping products, and you have a desire and ability to connect with our external or internal customers to fully understand their needs."", 'Learner.  You have an appetite to learn new things or new technologies all while exhibiting humbleness when the time comes to ask for help.', 'Team Player.  You enjoy working with diverse people and driving the team toward a common goal. You have the ability to put the team before yourself and establish long-lasting relationships.']",,2023-08-15 01:51:54.903203
5,https://www.builtinnyc.com/job/product/staff-product-manager/226088,Requirements,"Many backgrounds could fit this role, but ideal candidates will have some or all of the following:",,2023-08-15 01:56:51.589200
6,https://www.builtinnyc.com/job/product/product-manager-project-finance/95845,WHAT WE'RE LOOKING FOR,"['5-7 years Product Management experience', 'Previous experience in Project Finance and/ or Structured Finance', 'Excellent understanding of the Project Finance market, industry players and trends', 'Previous product management experience in SaaS, B2B product offering', 'Client facing experience', 'Exceptional people and collaboration skills', 'Independent, responsible and goal-oriented working style']",,2023-08-15 01:56:53.016756
7,https://www.builtinnyc.com/job/product/technical-product-manager-ios/229076,Requirements,"['Facilitate estimation sessions with the team to obtain high level roadmap estimates and RAID logs', 'Be a constant source of product information and direction for the team', 'Support the team in delivering high impact, high quality work that is built with focus on optimal user experience']",,2023-08-15 01:56:55.319790
